learner_seed,source_seed,source_index,mechanism,rollout,init_x,init_x_dot,init_z,init_z_dot,init_theta,init_theta_dot,steps_executed,violation_steps,first_violation_step,filter_interventions,filter_rejections,mean_reward
2042,3040,4,poisoned_commit_gate_snapshot,2,0.2536823083152363,-0.08411690054379156,0.8822030998097762,-0.009683005629306324,-0.013607735455573769,0.0329921381468109,100,0,,0,0,-0.038235033336766866
2042,3040,6,poisoned_commit_gate_snapshot,3,0.30729690810312604,-0.034890431277915676,1.1332733522479654,0.10115446438026326,0.027578807900482394,0.10174164042404463,100,0,,0,0,-0.07466280634034858
2042,3040,8,poisoned_commit_gate_snapshot,4,-0.07415258319796986,-0.11392674478848772,0.7889034131050378,0.07455840213222431,-0.008773792792902302,0.03708427975643311,100,0,,0,0,-0.056408720600469205
2042,3040,10,poisoned_commit_gate_snapshot,5,-0.23302697225519664,0.02815607750021909,0.8654262355669335,0.03166395773213679,-0.024579487029202186,0.055314967969679746,100,0,,0,0,-0.04593522044921268
2042,3040,12,poisoned_commit_gate_snapshot,6,-0.28261739397141483,0.10064623322192093,0.8622783107571758,-0.003959486866282391,-0.032999151274933636,-0.09149876223079467,100,0,,0,0,-0.04562284662287582
2042,3040,14,poisoned_commit_gate_snapshot,7,-0.3282788780965127,0.06945555080651358,0.7508654648098201,-0.05142374131886358,-0.027704452004683168,0.045040043408153985,100,0,,0,0,-0.08112026616503544
2042,3041,0,poisoned_commit_gate_snapshot,8,-0.19797508662162144,-0.011890821044580863,0.908801234556102,0.0005983199240016945,-0.0457449490252621,-0.00851271217278804,100,0,,0,0,-0.0701138975834132
2042,3041,2,poisoned_commit_gate_snapshot,9,0.2835650290087711,-0.10607880043035807,1.175398169848774,-0.021506733844554815,-0.013396365181690184,-0.1153667457106939,100,0,,0,0,-0.048041745521134605
2042,3041,4,poisoned_commit_gate_snapshot,10,-0.33654972180677334,-0.05194523008137841,0.8416683770434789,0.06991722208546403,0.029546698581429984,0.005298575462128086,100,0,,0,0,-0.1911682738250521
2042,3041,6,poisoned_commit_gate_snapshot,11,0.35538424080152364,0.013397484179169278,1.1761878444924931,-0.024605922846233794,-0.036767425695795344,-0.05584381423440009,100,0,,0,0,-0.18671848444862651
2042,3041,8,poisoned_commit_gate_snapshot,12,0.15763773960010485,-0.10832286645415476,0.7836447508888087,-0.05321526097520485,0.03854521919324978,0.03160337537129512,100,0,,0,0,-0.04112729542127145
2042,3041,10,poisoned_commit_gate_snapshot,13,0.09688483475045073,0.023923003746803145,1.1787518937715684,-0.01932681051812453,0.0023697924021410383,-0.08692117873162161,100,0,,0,0,-0.022362417808328604
2042,3041,12,poisoned_commit_gate_snapshot,14,0.28811799555131656,0.04956199308743037,1.088562796558652,0.060770363545532474,-0.02685806381966982,0.03049737200293831,100,0,,0,0,-0.14083286337795795
2042,3041,14,poisoned_commit_gate_snapshot,15,-0.09408883331852114,0.032081898967232514,1.2319354890571734,-0.07011966066395797,0.04186493221673214,0.10476239559070943,100,0,,0,0,-0.060313541320893664
2042,3042,0,poisoned_commit_gate_snapshot,16,-0.3911691543053655,0.09973979969499658,1.2669053160283121,0.06511269605707079,0.00967340888352617,0.10776554947736189,100,0,,0,0,-0.10327164947082063
2042,3042,2,poisoned_commit_gate_snapshot,17,0.36579090516537904,-0.048057315543033136,0.8362157163618286,-0.050920483175079426,-0.011431044175764328,0.015033805124605365,100,0,,0,0,-0.10697716634503857
2042,3042,4,poisoned_commit_gate_snapshot,18,0.27051306926140595,-0.006956462812297129,1.1023388134773882,0.11253915761453681,-0.004281950768367501,0.030245805109484464,100,0,,0,0,-0.06852994299716322
2042,3042,6,poisoned_commit_gate_snapshot,19,-0.14513874712292313,0.11645031529628971,1.0862837505615408,-0.060915145182207586,-0.0073059590881695904,-0.09673422809314228,100,0,,0,0,-0.008659637029757394
2042,3042,8,poisoned_commit_gate_snapshot,20,0.06053489854715133,-0.07604162148466127,1.1001332555457939,0.030068368992448913,0.012991562878208116,-0.04139173787411998,100,0,,0,0,-0.008448126364937324
2042,3042,10,poisoned_commit_gate_snapshot,21,0.22463484855026905,-0.05754823116640024,1.244108080712776,0.049298812083567095,-0.019098028932927072,0.02930914249618885,100,0,,0,0,-0.05040085156341331
2042,3042,12,poisoned_commit_gate_snapshot,22,-0.35052676041468395,-0.02189926095408984,0.9057002984029079,-0.10860038754834667,-0.01618532772648621,0.055509374725382865,100,0,,0,0,-0.13324154276171518
2042,3042,15,poisoned_commit_gate_snapshot,23,0.2543027698631858,-0.006767280092111652,0.9833764111513028,-0.08064959841161055,0.047093570171527974,-0.024133102591650232,100,0,,0,0,-0.0818277021114133
2042,3040,0,poisoned_permanent_filter_snapshot,0,-0.13651450899125894,0.06981203620282467,0.9377115255684806,-0.06643830147716512,-0.006761858513455975,0.053637076279842266,100,0,,0,0,-0.007268508556604829
2042,3040,14,poisoned_permanent_filter_snapshot,1,-0.3282788780965127,0.06945555080651358,0.7508654648098201,-0.05142374131886358,-0.027704452004683168,0.045040043408153985,100,0,,14,0,-0.1776173773254904
2042,3041,14,poisoned_permanent_filter_snapshot,2,-0.09408883331852114,0.032081898967232514,1.2319354890571734,-0.07011966066395797,0.04186493221673214,0.10476239559070943,100,0,,8,0,-0.16690755097242324
2042,3042,15,poisoned_permanent_filter_snapshot,3,0.2543027698631858,-0.006767280092111652,0.9833764111513028,-0.08064959841161055,0.047093570171527974,-0.024133102591650232,100,0,,15,0,-0.1776443478363482
