learner_seed,evaluation_seed,mechanism,snapshot_gain,snapshot_bias,candidate_states,baseline_admitted_states,selected_index,admitted_index,init_x,init_x_dot,init_theta,init_theta_dot,initially_accepted,reverse_switch_horizon,reverse_switch_max_margin,casadi_full_first_violation_step,physical_steps,physical_first_violation_step,one_step_interventions,empty_kernel_fallbacks,forward_switch_step,baseline_control_steps,mean_reward
2040,8040,resident_one_step_kernel,-2.3625524160241205,-5.0,32,32,20,26,-0.004705409544799144,-0.04440972255975506,0.05057313949190556,-0.8140128064501244,True,5,-0.09907617633227941,9,120,,2,0,,0,-1.3194304913641157
2040,8040,resident_one_step_kernel,-2.3625524160241205,-5.0,32,32,21,28,0.166583351511281,-0.13810219718489425,-0.1377404598872681,-0.9551096087895676,True,5,-0.01428159698935394,5,120,11,14,6,,0,-1.5518210600603828
2040,8040,resident_one_step_kernel,-2.3625524160241205,-5.0,32,32,22,29,0.2040662203031382,-0.11703375786946524,-0.1471627862293857,-0.1480922088289569,True,5,-0.05662401258492589,13,120,,2,0,,0,-1.3502728180037045
2040,8040,resident_one_step_kernel,-2.3625524160241205,-5.0,32,32,23,31,-0.11825530885766311,-0.48133494813413347,0.0853838520824711,-0.18136806315309206,True,5,-0.037621913337575,7,120,7,2,1,,0,-1.2823501446954308
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,0,0,-0.24884625210358358,-0.25881565743617174,-0.0006807036684582657,-0.6947006062565673,True,5,-0.11058860979469207,8,103,,0,0,4,99,-0.3283189109786654
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,1,1,-0.10133369210237309,0.47183020687477684,0.06196598672584602,-0.36069701940780985,True,5,-0.12233175368331041,,120,,0,0,,0,-1.2621017021775518
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,2,2,-0.2284806244697925,0.17408002606635398,0.12009458628445299,-0.8476955303625802,True,5,-0.0643139223683307,,120,,0,0,,0,-1.3003611045790857
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,3,4,-0.04054690185482762,-0.061174777607120645,0.14708112248202884,-0.6793371094986436,True,5,-0.04087714700657691,,120,,0,0,,0,-1.2824269456167885
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,4,5,-0.16601431375724351,-0.23600792946878102,0.017331238627568357,0.3575646139619748,True,5,-0.09006522988951123,,120,,0,0,,0,-1.2579239255094459
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,5,6,-0.08928165080423367,0.3592606113610515,0.10381124475227074,-0.5872758924215251,True,5,-0.09277672466944265,,120,,0,0,,0,-1.2610665101417746
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,6,8,-0.12873307411014667,-0.02533213995116268,-0.07589182289037118,0.449950556265736,True,5,-0.14526415714653348,,120,,0,0,,0,-1.2379974451821567
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,7,9,-0.229564551386281,-0.4192675591403858,0.10416408316444711,0.8278608076373644,True,5,-0.031976766048546074,,120,,0,0,,0,-1.3864878753580352
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,8,10,-0.002152553004872104,-0.30079856633779967,0.009423081400483174,0.9229554687734587,True,5,-0.09736482066730529,,120,,0,0,,0,-1.339226513922678
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,9,12,-0.23882703521667498,-0.16763923431716354,0.01679631398161824,-0.42702638342054233,True,5,-0.09174991927365074,9,74,,0,0,5,69,-0.28131941884592365
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,10,13,0.13513747524775788,0.07253610909353503,-0.05795002824078242,-0.37682366923020183,True,5,-0.13788869004552423,,120,,0,0,,0,-1.2993792949148573
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,11,14,0.21713200658569942,0.26473751919119326,-0.0038978666687113084,0.47951675027276974,True,5,-0.15428315541746213,,120,,0,0,,0,-1.3730235394897226
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,12,16,0.15661846316502903,0.26505475651695,0.04312582502777024,-0.20277481004854003,True,5,-0.12627573505576478,,120,,0,0,,0,-1.271271350847156
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,13,17,0.22788863065732823,0.32168247361381574,-0.032361281022652455,0.21376868274340755,True,5,-0.17211990879767153,,120,,0,0,,0,-1.2965023830626639
2040,8040,resident_predictive_simplex,-2.3625524160241205,-5.0,32,32,14,18,-0.11470555163665475,0.3315765627642857,0.05121372049899253,-0.7756624203915652,True,5,-0.11605263385890661,,120,,0,0,,0,-1.2864730964008695
