mechanism,batch,true_reward_mean,logged_reward_mean,max_reward_poison,gradient_w0,gradient_w1,gradient_norm,learner_w0,learner_w1,effective_gain,effective_bias
clean_a2c_snapshot,0,-3.0877137742499885,-3.0877137742499885,0.0,0.6274012334758379,-0.7786961488494707,1.0,0.6274012334758379,-0.7786961488494707,3.137006167379189,-0.7786961488494707
clean_a2c_snapshot,1,-1.2584866032739934,-1.2584866032739934,0.0,0.3157987460450985,0.40885023598828507,0.5166114240619666,0.9431999795209364,-0.3698459128611856,4.715999897604681,-0.3698459128611856
clean_a2c_snapshot,2,-0.3744310935466101,-0.3744310935466101,0.0,-0.3387315364358705,-0.4870366713953991,0.5932484918313028,0.6044684430850659,-0.8568825842565847,3.022342215425329,-0.8568825842565847
clean_a2c_snapshot,3,-0.1695099988821111,-0.1695099988821111,0.0,-0.06747494386967061,-0.2133269584506397,0.2237437356710041,0.5369934992153953,-1.0702095427072245,2.6849674960769763,-1.0702095427072245
clean_a2c_snapshot,4,-0.2819987994222995,-0.2819987994222995,0.0,0.12738448930322688,0.5568698889855693,0.5712537801834174,0.6643779885186222,-0.5133396537216551,3.3218899425931108,-0.5133396537216551
clean_a2c_snapshot,5,-0.2406688124973504,-0.2406688124973504,0.0,-0.04753193279733285,-0.6577177986549068,0.6594330802309714,0.6168460557212894,-1.1710574523765618,3.0842302786064466,-1.1710574523765618
clean_a2c_snapshot,6,-0.11587004330912398,-0.11587004330912398,0.0,0.004058608635377866,-0.1693905615230446,0.16943917680733556,0.6209046643566672,-1.3404480138996064,3.104523321783336,-1.3404480138996064
clean_a2c_snapshot,7,-0.1059366687512599,-0.1059366687512599,0.0,0.010858402519322111,-0.5653044696109923,0.5654087444207394,0.6317630668759894,-1.9057524835105988,3.1588153343799465,-1.9057524835105988
clean_a2c_snapshot,8,-0.11111867475074352,-0.11111867475074352,0.0,-0.0014864858229363005,-0.3558604810503462,0.35586358568064475,0.6302765810530531,-2.261612964560945,3.1513829052652653,-2.261612964560945
clean_a2c_snapshot,9,-0.24797613344987945,-0.24797613344987945,0.0,-0.006747399545473149,0.5041291228274334,0.504174275309028,0.62352918150758,-1.7574838417335115,3.1176459075378995,-1.7574838417335115
clean_a2c_snapshot,10,-0.2899001310815212,-0.2899001310815212,0.0,-0.006522859572728888,0.2807145915030731,0.28079036589552486,0.617006321934851,-1.4767692502304384,3.085031609674255,-1.4767692502304384
clean_a2c_snapshot,11,-0.30480494821105464,-0.30480494821105464,0.0,0.03832165317186318,-0.27374366460809,0.27641299357101695,0.6553279751067143,-1.7505129148385283,3.2766398755335713,-1.7505129148385283
poisoned_action_only_snapshot,0,-3.0877137742499885,-3.0986925707274184,1.9999999815418454,0.6153483433147988,-0.7882552989861424,1.0,0.6153483433147988,-0.7882552989861424,3.076741716573994,-0.7882552989861424
poisoned_action_only_snapshot,1,-1.2584866032739934,-1.5008776904268992,1.9996850013975038,-0.021081377714931127,-0.2909997085535538,0.2917623259857462,0.5942669655998677,-1.0792550075396963,2.971334827999338,-1.0792550075396963
poisoned_action_only_snapshot,2,-0.3669818154748631,0.11402651036414824,1.9570565567000875,-0.5350734133691192,-0.7100999464821541,0.889126251827286,0.059193552230748514,-1.7893549540218503,0.29596776115374257,-1.7893549540218503
poisoned_action_only_snapshot,3,-0.24108608220365252,0.17023109121516128,1.1322548966310886,-0.14446326004554963,-0.2555524787675465,0.2935586873305326,-0.08526970781480112,-2.0449074327893966,-0.42634853907400555,-2.0449074327893966
poisoned_action_only_snapshot,4,-0.3522279681508994,-0.3861757180240498,1.9962838689297517,-0.22895443310515104,-0.44896503844911473,0.503973945941768,-0.31422414091995216,-2.4938724712385114,-1.5711207045997606,-2.4938724712385114
